record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
94,204300,Awesomenauts - the 2D moba,Ronimo Games,Ronimo Games,0.78,2000000,"['Action', 'Free to Play', 'Indie', 'Strategy']"
119,209650,Call of Duty: Advanced Warfare - Gold Edition,Sledgehammer Games,Activision,0.78,500000,['Action']
125,211400,Deadlight,"Tequila Works, S.L.",Xbox Game Studios,0.78,500000,"['Action', 'Adventure', 'Indie']"
193,228280,Baldur's Gate: Enhanced Edition,Beamdog,Beamdog,0.78,1000000,"['RPG', 'Strategy']"
277,249130,LEGO Marvel Super Heroes,Traveller's Tales,Warner Bros. Interactive Entertainment,0.78,1000000,"['Action', 'Adventure']"
285,251060,Wargame: Red Dragon,Eugen Systems,Eugen Systems,0.78,1000000,"['Indie', 'Simulation', 'Strategy']"
295,255220,GRID Autosport,Codemasters Racing,Codemasters,0.78,500000,"['Racing', 'Sports']"
320,266510,Hand of Fate,Defiant Development,Defiant Development,0.78,500000,"['Action', 'Indie', 'RPG']"
330,270150,RUNNING WITH RIFLES,Osumia Games,Osumia Games,0.78,500000,"['Action', 'Indie', 'in Early Access']"
346,281990,Stellaris,Paradox Development Studio,Paradox Interactive,0.78,2000000,"['Simulation', 'Strategy']"
375,291860,Pit People,The Behemoth,The Behemoth,0.78,200000,"['Action', 'Indie', 'RPG', 'Strategy', 'in Early Access']"
414,312660,Sniper Elite 4,Rebellion,Rebellion,0.78,1000000,"['Action', 'Adventure']"
424,319510,Five Nights at Freddy's,Scott Cawthon,Scott Cawthon,0.78,500000,"['Indie', 'Simulation']"
438,324800,Shadow Warrior 2,Flying Wild Hog,Devolver Digital,0.78,500000,"['Action', 'Adventure']"
458,335670,LISA: The Painful,Dingaling,"Dingaling Productions, LLC",0.78,200000,"['Adventure', 'Indie', 'RPG']"
588,40970,Stronghold Crusader HD,FireFly Studios,FireFly Studios,0.78,2000000,"['Simulation', 'Strategy']"
612,421020,DiRT 4,Codemasters,Codemasters,0.78,500000,"['Racing', 'Simulation', 'Sports']"
635,435400,Hidden Folks,Adriaan de Jongh,Adriaan de Jongh,0.78,200000,"['Adventure', 'Casual', 'Indie']"
696,48700,Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment,0.78,2000000,"['Action', 'RPG']"
704,492720,Tropico 6,Limbic Entertainment,Kalypso Media,0.78,500000,"['Simulation', 'Strategy']"
777,57690,Tropico 4,Haemimont Games,Kalypso Media Digital,0.78,2000000,"['Simulation', 'Strategy']"
780,581320,Insurgency: Sandstorm,New World Interactive,Focus Home Interactive,0.78,1000000,['Action']
795,6000,STAR WARS Republic Commando,LucasArts,LucasArts,0.78,1000000,['Action']
802,6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,Lucasfilm,0.78,2000000,['Action']
811,617290,Remnant: From the Ashes,Gunfire Games,Perfect World Entertainment,0.78,1000000,"['Action', 'Adventure', 'RPG']"
829,637090,BATTLETECH,Harebrained Schemes,Paradox Interactive,0.78,1000000,"['Action', 'Adventure', 'Strategy']"
897,751780,Forager,HopFrog,Humble Games,0.78,500000,"['Action', 'Adventure', 'Indie', 'Simulation']"
901,760060,Mutant Year Zero: Road to Eden,The Bearded Ladies,Funcom,0.78,500000,"['RPG', 'Strategy']"
110,208140,Endless Space - Collection,AMPLITUDE Studios,SEGA,0.77,1000000,['Strategy']
121,210770,Sanctum 2,Coffee Stain Studios,Coffee Stain Publishing,0.77,2000000,"['Action', 'Indie', 'Strategy']"
157,220780,Thomas Was Alone,Bithell Games,Bithell Games,0.77,500000,['Indie']
165,222480,Resident Evil Revelations,Capcom,Capcom,0.77,500000,"['Action', 'Adventure']"
257,243470,Watch_Dogs,Ubisoft,Ubisoft,0.77,500000,"['Action', 'Adventure']"
275,248820,Risk of Rain,Hopoo Games,Chucklefish,0.77,1000000,"['Action', 'Indie', 'RPG']"
297,256290,Child of Light,Ubisoft Montr̩al,Ubisoft,0.77,500000,['RPG']
335,273350,Evolve Stage 2,Turtle Rock Studios,2K,0.77,5000000,"['Action', 'Free to Play']"
354,285190,"Warhammer 40,000: Dawn of War III",Relic Entertainment,SEGA,0.77,1000000,"['Action', 'Simulation', 'Strategy']"
364,287980,Mini Metro,Dinosaur Polo Club,Dinosaur Polo Club,0.77,500000,"['Indie', 'Simulation', 'Strategy', 'in Early Access']"
432,323370,TERA,"Bluehole, Inc.",En Masse Entertainment,0.77,2000000,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
436,32440,LEGO Star Wars - The Complete Saga,Traveller's Tales,LucasArts,0.77,500000,['Adventure']
580,40100,Supreme Commander 2,Gas Powered Games,Square Enix,0.77,1000000,['Strategy']
654,447530,VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games,Ysbryd Games,0.77,500000,"['Adventure', 'Indie', 'Simulation']"
